_id,eventType,about,startDate,endDate,lat,lon,country,locality,streetAddress,administrativeArea,postalCode,show._id,show.name,show.interests,organizations._id,organizations.name
smyr33rj6qrhHQnza,Performance,https://kasparmachine.eu/,Sat Sep 19 2020 00:00:00 GMT+0000 (UTC),Sun Sep 20 2020 00:00:00 GMT+0000 (UTC),37.94544640000001,23.6266187,Greece,Drapetsona,,,186 48,LdNFW6CMQmL54m4EG,Kaspar Machine,,id8hZcFjhdeqb7pjn,Labillusions
RyMSPc2zqtdLdfgBe,Performance,https://sites.google.com/view/the-red-curtain/shows,Sat Jun 27 2020 00:00:00 GMT+0000 (UTC),Sun Jun 28 2020 00:00:00 GMT+0000 (UTC),22.572646,88.36389500000001,India,Kolkata,,West Bengal,,g7rhie6xsZaYtCRTz,The Little Prince ,,G2oowZMSf3NtsnmBj,The Red Curtain International
R3ctu4bFYd2K3rAJ2,Performance,https://sites.google.com/view/the-red-curtain/shows,Sat Jun 27 2020 00:00:00 GMT+0000 (UTC),Sun Jun 28 2020 00:00:00 GMT+0000 (UTC),22.572646,88.36389500000001,India,Kolkata,,West Bengal,018960,g7rhie6xsZaYtCRTz,The Little Prince ,,G2oowZMSf3NtsnmBj,The Red Curtain International
Ywo5n6X3MbKyYvofi,Performance,https://theaterj.org/on-stage/compulsion/,Sat Jun 06 2020 00:00:00 GMT+0000 (UTC),Mon Jun 29 2020 00:00:00 GMT+0000 (UTC),38.9108855,-77.0359163,United States,Washington,1529 16th Street Northwest,District of Columbia,20036,798S6pQPmaRvAsyEX,Compulsion or the House Behind,,5877b72717334f313edb4e36,Theater J
v4i8fSQrLMY7mLHHq,Performance,https://www.flipcause.com/secure/cause_pdetails/ODUxNzA=#!,Mon Jun 01 2020 00:00:00 GMT+0000 (UTC),Mon Jun 01 2020 00:00:00 GMT+0000 (UTC),40.7127753,-74.0059728,United States,New York,,New York,,YHeWozW6HSHTScXJn,Live and In Color’s 24-Hour Play and Song Festival,,3iPjkhZzFNsEQDwaC,Live & In Color
HfPZSXmtgojvDJjSX,Reading,https://myemail.constantcontact.com/Drama-in-the-works-Schedule.html?soid=1102288667513&aid=KPuqdZn_dZI,Tue May 12 2020 00:00:00 GMT+0000 (UTC),Tue May 12 2020 00:00:00 GMT+0000 (UTC),26.7153424,-80.0533746,United States,West Palm Beach,,Florida,,kSnzoch4d8Gvjh2J3,Drawing Fire,,TbH99vj4PJ7fMxpwb,Palm Beach Dramaworks
recKapHQcTfGPLTD4,Performance,,Tue May 12 2020 00:00:00 GMT+0000 (UTC),Sat May 16 2020 00:00:00 GMT+0000 (UTC),51.3855882,-0.4237832999999682,United Kingdom,,Hurst Grove,England,KT12 1AU,fP4iFmxZs6mmPTpQd,Thoroughly Modern Millie,,BBWYAND9mfdFXr3Y5,Walton & Weybridge Amateur Operatic Society
TmTTYCHzmDxbmduiS,Performance,,Sat May 09 2020 00:00:00 GMT+0000 (UTC),Mon May 18 2020 00:00:00 GMT+0000 (UTC),44.8392343,-93.51143119999999,United States,Eden Prairie,9100 Riley Lake Road,Minnesota,55347,5877c3c017334f313edb6d29,Cut and Run,,5877bce417334f313edb5b6d,Eden Prairie Players
HsuA2DkJtcjHAGSwe,Performance,https://16thstreettheater.org/productions/palestine/,Fri Apr 10 2020 00:00:00 GMT+0000 (UTC),Mon May 04 2020 00:00:00 GMT+0000 (UTC),41.8578335,-87.7845956,United States,Berwyn,6420 16th Street,Illinois,60402,sBXjnnnY2FxiSDz6D,Palestine,,5877b72c17334f313edb4e40,16th Street Theater
73faHaEjtD4RECruF,Performance,,Mon Apr 06 2020 00:00:00 GMT+0000 (UTC),Tue Apr 07 2020 00:00:00 GMT+0000 (UTC),43.7022451,-72.28955259999998,United States,Hanover,,New Hampshire,,Zqc29axBrstighwMo,Infinitely Yours,,5877bbb017334f313edb58a9,Hopkins Center for the Arts
yudaHxPCxS5MYmS2H,Performance,,Sat Mar 28 2020 00:00:00 GMT+0000 (UTC),Mon Mar 30 2020 00:00:00 GMT+0000 (UTC),34.0905418,-118.3276065,United States,Los Angeles,6320 Santa Monica Boulevard,California,90038,CD94oeKoF9jNY5LpZ,Low Light,,5877bcc117334f313edb5b1d,2Cents Theatre Group
9ki6GkytqoPXfz7Ty,Performance,https://theaterj.org/on-stage/becoming-dr-ruth-19-20/,Sat Mar 28 2020 00:00:00 GMT+0000 (UTC),Mon Apr 20 2020 00:00:00 GMT+0000 (UTC),38.9108855,-77.0359163,United States,Washington,1529 16th Street Northwest,District of Columbia,20036,LLC8HgT7MDgGxYDLQ,Becoming Dr. Ruth,,5877b72717334f313edb4e36,Theater J
RvpJTwznQ4iushZEX,Performance,,Fri Mar 27 2020 00:00:00 GMT+0000 (UTC),Sun Apr 05 2020 00:00:00 GMT+0000 (UTC),33.0402401,-96.70583920000001,United States,Plano,221 West Parker Road,Texas,75023,en3rjNkpkfcQBCenn,Pulse,,5877b27017334f313edb424f,Rover Dramawerks
AmfYEEww7eNaL4Myz,Performance,https://16thstreettheater.org/productions/methtacular/,Fri Mar 20 2020 00:00:00 GMT+0000 (UTC),Sun Apr 05 2020 00:00:00 GMT+0000 (UTC),41.8578335,-87.7845956,United States,Berwyn,6420 16th Street,Illinois,60402,wELAbsD9EXnfKRohC,Methtacular!,,5877b72c17334f313edb4e40,16th Street Theater
zE2oNAXQNydfYnKxn,Performance,https://www.59e59.org/shows/show-detail/barococo/,Thu Mar 19 2020 00:00:00 GMT+0000 (UTC),Mon Apr 06 2020 00:00:00 GMT+0000 (UTC),40.7634424,-73.9704993,United States,New York,59 East 59th Street,New York,10022,hNqAnND5WkeCMnkdu,BAROCOCO,,5877bc3617334f313edb59dd,59E59 Theaters
FmXdFnN4kBYQ2Wx4b,Performance,,Wed Mar 18 2020 00:00:00 GMT+0000 (UTC),Mon Apr 20 2020 00:00:00 GMT+0000 (UTC),33.7489954,-84.3879824,United States,Atlanta,,Georgia,,Bmw7GqndZHH7GB8Tr,In My Granny's Garden,,5877b72117334f313edb4e28,Alliance Theatre
ovFSxxkxq4f65D2Eb,Performance,https://theaterj.org/on-stage/the-wanderers/,Thu Feb 20 2020 01:00:00 GMT+0000 (UTC),Mon Mar 16 2020 00:00:00 GMT+0000 (UTC),38.9108855,-77.0359163,United States,Washington,1529 16th Street Northwest,District of Columbia,20036,dHTzyQbjFn7eHWeQc,The Wanderers,,5877b72717334f313edb4e36,Theater J
oGfHNHkio3dvhQMXS,Reading,http://playground-la.org/monday/,Tue Feb 11 2020 01:00:00 GMT+0000 (UTC),Tue Feb 11 2020 01:00:00 GMT+0000 (UTC),34.0905418,-118.3276065,United States,Los Angeles,6320 Santa Monica Boulevard,California,90038,Pz7nz2zCe8iPHcseN,Obscura,,5877b9f817334f313edb54b3,PlayGround-LA
JPkFcaHbFPooMLZsH,Performance,https://16thstreettheater.org/productions/alabaster/,Fri Jan 31 2020 01:00:00 GMT+0000 (UTC),Mon Mar 02 2020 01:00:00 GMT+0000 (UTC),41.8578335,-87.7845956,United States,Berwyn,6420 16th Street,Illinois,60402,ybjnMmJs3Yn3ANEWm,Alabaster,,5877b72c17334f313edb4e40,16th Street Theater
cXG4SFgSMehP3aW8R,Performance,https://companyone.org/production/wolf-play/,Fri Jan 31 2020 01:00:00 GMT+0000 (UTC),Sun Mar 01 2020 01:00:00 GMT+0000 (UTC),42.3494163,-71.0788285,United States,Boston,700 Boylston Street,Massachusetts,02116,xsRcFQRYzveqznLir,Wolf Play,,5877b7b317334f313edb4f76,Company One Theatre
LcpoXQG9wGvcLnmDQ,Performance,https://www.clevelandplayhouse.com/shows/2019/clue,Sun Jan 26 2020 01:00:00 GMT+0000 (UTC),Mon Feb 24 2020 01:00:00 GMT+0000 (UTC),41.5012159,-81.6814828,United States,Cleveland,1407 Euclid Avenue,Ohio,44115,kjnkxGv8YpjQpC7AR,Clue,,dapmM7iYbacrqsj5N,Cleveland Play House
