role,profile._id,event._id
Director,a89muvR5itvPTp9y6,Y3mCkvdk95cECSSWm
Art director,67NMjFehAL6WhXMYB,Y3mCkvdk95cECSSWm
Assistant director,TZeMCKAuayiT4FcZA,Y3mCkvdk95cECSSWm
Lighting designer,GyXknpZ59Zt3XZebN,Y3mCkvdk95cECSSWm
Director,es2NSDXvgasSz2upA,ZEFdyYhmXFkF7K47X
Director,2dyt6i2eFHZhPzzYW,ZEFdyYhmXFkF7K47X
Producer,GnbbMu3KJw6rhWcjt,ZEFdyYhmXFkF7K47X
Designer,WBZ8HySwqNHncntCY,ZEFdyYhmXFkF7K47X
Designer,vWLoFmENfjNSnpM8k,ZEFdyYhmXFkF7K47X
Performer,zRBWzEbHTRoCTr2zP,ZEFdyYhmXFkF7K47X
Performer,coMETbTa8sNxfkdwt,ZEFdyYhmXFkF7K47X
Performer,p5F5TAyywCoLCYbAc,ZEFdyYhmXFkF7K47X
Performer,pedxQqFjmZoXuGD6x,ZEFdyYhmXFkF7K47X
Performer,chT6uKz6cDa4jNdrd,ZEFdyYhmXFkF7K47X
Performer,rZByqFxSpQomzcuKm,ZEFdyYhmXFkF7K47X
Performer,FbZsELGArZQxtBytk,ZEFdyYhmXFkF7K47X
Director,YjNdhag2XWPDjGaxT,YrN4wcg7J84dgkxhX
Director,P73y2STo2i5FXK8tH,gifchm5Jgc4aj7ZyW
Director,YjNdhag2XWPDjGaxT,PoTevzbgCx6cEyHZF
Director,Qp6aZFnwbDBJKa4Mf,5877b1ad17334f313edb407b
Director,PZTpAFS6Kg4TPSjzo,n3MW6CYYfChXGt2bc
Director,cyTd5FaKwWX4DwQti,n3MW6CYYfChXGt2bc
Co-Producer,KEvapvWAY8jQrN4fG,9wSy8uNy96RZgbbbQ
Director,ruyzJgSgj8yEXyxKr,9wSy8uNy96RZgbbbQ
Performer,AvH6rdTotnpFJJiXh,9wSy8uNy96RZgbbbQ
"Set, Costume, and Lighting Designer",ruyzJgSgj8yEXyxKr,9wSy8uNy96RZgbbbQ
Stage Manager,sFqeTdocfGgf3Ds8w,BbDiRFSTb2PxG6bKG
Director,7azvh3KT3WvoHzuXE,BbDiRFSTb2PxG6bKG
Sound Designer,sz6gTBDMhTAoHtLQN,BbDiRFSTb2PxG6bKG
Dramaturg,W9s4aWEdwfwFkf7Zq,BbDiRFSTb2PxG6bKG
Executive Producer,J9LjMi2EN4qn9jez7,BbDiRFSTb2PxG6bKG
Performer,4qo3sHd9ko7yc6weG,SJENxd7NzuF2JZ6ia
Performer,sivcqxdfPMusnYpPQ,SJENxd7NzuF2JZ6ia
Performer,QRwAm4QAep7PRxCr2,SJENxd7NzuF2JZ6ia
Performer,t2oXqFx9GnRa6u3gx,SJENxd7NzuF2JZ6ia
Performer,HWgCr2yeDtGsW8Hki,SJENxd7NzuF2JZ6ia
Performer,LgzMmMaXbWpvagNcc,SJENxd7NzuF2JZ6ia
"Set, Lighting, and Graphic Designer",hQbSXHaBL5AFAnQbL,SJENxd7NzuF2JZ6ia
Costume Designer,DhZZx7CDbwgByG5TS,SJENxd7NzuF2JZ6ia
Costume Designer,pjfAEkFReveqB32HS,SJENxd7NzuF2JZ6ia
Make-up Artist,bYoHsq2Ec87um59w5,SJENxd7NzuF2JZ6ia
Composer,EScZrFzHDZ6HPtpvW,SJENxd7NzuF2JZ6ia
Assistant Director,LgzMmMaXbWpvagNcc,SJENxd7NzuF2JZ6ia
Director,t3nEnWsecaRqYYW3T,SJENxd7NzuF2JZ6ia
Audiovisual editor,TY4ZunJjbMR3fN2aG,SJENxd7NzuF2JZ6ia
Executive Producer,sFqeTdocfGgf3Ds8w,5877b11817334f313edb3f24
Performer,9iaofFF8E9wd5nemw,gcNPDYfRzuQc2zdzG
Performer,yoQFw3W4ppN3jQvNg,gcNPDYfRzuQc2zdzG
Performer,9JLYRKAnFQyqkKGss,gcNPDYfRzuQc2zdzG
Director,xd39yQCMf52H9sDbE,gcNPDYfRzuQc2zdzG
Art Director,YbLHGB2rYabReRTJQ,gcNPDYfRzuQc2zdzG
Assistant Director,kE45JE4HD4s8wdMKg,gcNPDYfRzuQc2zdzG
Producer,YfYhed6wjcZBWfESj,gcNPDYfRzuQc2zdzG
Director,pNWibsgCk7SxmGw8b,Q62CwiKFvfFYbJZSw
Stage Manager,oe3ugi8ZMWLQwermz,Q62CwiKFvfFYbJZSw
Stage Management Intern,sFqeTdocfGgf3Ds8w,Q62CwiKFvfFYbJZSw
Director,EYTmSDa67TZcteycM,LptvXHd5fchbeHMMJ
Choreographer,Dpxmu9cDDiT2yFLR2,Q62CwiKFvfFYbJZSw
Directed by,vBraXEPBfhmGcQcAw,feEB8jGvqJQPFyW5t
Performer,grLuCeM2r2adMFF38,feEB8jGvqJQPFyW5t
Performer,ygFcMnAZ5kcuaYRkE,feEB8jGvqJQPFyW5t
Performer,R9GmPumWfxT3vjkG2,feEB8jGvqJQPFyW5t
Performer,SWuAcMiFtFRYMtC6X,feEB8jGvqJQPFyW5t
Producer,8ntnctigzLp7kgxew,feEB8jGvqJQPFyW5t
Sound,ymA3qjyiCoRtMuhrc,feEB8jGvqJQPFyW5t
Production,DkmkLJqsy7K8BpTyf,CG5CYCHKGegiytyXJ
Technical assistant,vezB8ezxdP4rLHvab,CG5CYCHKGegiytyXJ
"Set, costume and lighting designer",curSugJ3bw6EtmeuR,CG5CYCHKGegiytyXJ
Collaborator - Sight,CCZntH9nkYeoAsC94,CG5CYCHKGegiytyXJ
Collaborator - Smell,wRgXE9hJh6psBXeLN,CG5CYCHKGegiytyXJ
Collaborator - Taste,aBWTRvAuyaH4edrB2,CG5CYCHKGegiytyXJ
Collaborator - Hearing,KjnaPjcZtseNvXxJ6,CG5CYCHKGegiytyXJ
Collaborator - Touch,KpYkmqAQfcsFuaijE,CG5CYCHKGegiytyXJ
Performer,omLjqmTWgG7YCp2un,i7rEdQMJgyZk7dz3x
Performer,e8iSLwDF2ghQgRkjE,i7rEdQMJgyZk7dz3x
Performer,HbJeQYGDyjSnzpSoM,i7rEdQMJgyZk7dz3x
Performer,ReSFgdPwQqmzSKMrF,i7rEdQMJgyZk7dz3x
Multimedia technician,DQ2Zi8FsCNuGYq2ji,i7rEdQMJgyZk7dz3x
Multimedia design and development,i75Pu88ir3voHjJdq,i7rEdQMJgyZk7dz3x
Musical device creation and sonogram,yRt3YxXncg8L2kFFt,i7rEdQMJgyZk7dz3x
Director and art,Tv7X638nGtkBC5ogQ,MXXcjTe5zgRvbpmGY
Assistant,RpgMeQLwgC4iKWTju,MXXcjTe5zgRvbpmGY
Assistant,n85JZ3ABzogHFzBC9,MXXcjTe5zgRvbpmGY
Sound,82Q7Yt4akNYWRtbkT,MXXcjTe5zgRvbpmGY
Original imagery,Np4venZx8YSgZK55v,MXXcjTe5zgRvbpmGY
"Director, Writer",QpNW95eaSjX4e2Ljw,bL7nfG5LdpyihTTME
Set and Costume Designer,8D8oiPh7YpjkJoppc,bL7nfG5LdpyihTTME
Lighting Designer,B7M9kAELyT2Cc4xgB,bL7nfG5LdpyihTTME
Video Designer,CyXwxs8pWTtAjXn3r,bL7nfG5LdpyihTTME
Performer,EFfQCgMXbF8HGrStj,bL7nfG5LdpyihTTME
Line Producer,9XW2FrJBuCjeNvYAQ,bL7nfG5LdpyihTTME
Stage Manager,pY2z7qgEJHvguQcaF,bL7nfG5LdpyihTTME
Dramaturg,FGakS3EkijrNE3Tn8,8QozXjoJy2fgvd6Ga
Dramaturg,vJFXbmwfTCxqABL4p,8QozXjoJy2fgvd6Ga
Stage Manager,sFqeTdocfGgf3Ds8w,8QozXjoJy2fgvd6Ga
Director,MqSPq62Xkd4hB9Eqo,5877abfe17334f313edb33f9
Stage Manager,AoqEAS24wFhJh4hTp,5877abfe17334f313edb33f9
Director,MqSPq62Xkd4hB9Eqo,8QozXjoJy2fgvd6Ga
Assistant Stage Manager,sFqeTdocfGgf3Ds8w,5877abfe17334f313edb33f9
Director,wibJYRSPf2dPXFuj6,5877af3917334f313edb3b7e
Production Stage Manager,jq4ZPCXs7eqjNGx47,5877af3917334f313edb3b7e
Stage Manager,XDNZ5BsHqmM3rokEb,5877af3917334f313edb3b7e
Production Assistant,sFqeTdocfGgf3Ds8w,5877af3917334f313edb3b7e
Scenic & Costume Design,KvtSvj6YAAFh3Fbd3,5877af3917334f313edb3b7e
Lighting Designer,jWhm6wKznNv3r3Tvf,5877af3917334f313edb3b7e
Sound Designer,ByxJSXZvHXeTbcAz6,5877af3917334f313edb3b7e
Director,nJPKr2LbmuWTNNJED,tqsnrHk9D4ZPahYJj
Artistic Director and Choreographer,pqR7disqvtN88v7py,DLb7ki65miFHXDgy7
Set and Costume Designer,i659uuATrLY4f2Ntw,DLb7ki65miFHXDgy7
Sound Designer,smFu94KgBSsSbrQij,DLb7ki65miFHXDgy7
Lighting Designer,wF2dmJQ7twkL8LW4h,DLb7ki65miFHXDgy7
Orchestrator,hZh947ue5WPmYDQZ3,DLb7ki65miFHXDgy7
Video Designer,vRYjW4hAKD9tPJJBN,DLb7ki65miFHXDgy7
Associate Artistic Director & Choreographer,LXYbSTY9NBFRiwGGg,DLb7ki65miFHXDgy7
Resident Director & Assistant Choreographer,z2GcWhKHfotg43wh8,DLb7ki65miFHXDgy7
Musical Director & Principal Conductor,8wQEs2KRT4kmoRrWf,DLb7ki65miFHXDgy7
Choreographic Assistant,TfRF7mdHNihbQpZGx,DLb7ki65miFHXDgy7
Performer,hJKdBj3mNcPwZmRuq,DLb7ki65miFHXDgy7
Performer,mh44i33BgLu9Lh7SR,DLb7ki65miFHXDgy7
Performer,Qnu52Hfw2ihBADjp5,DLb7ki65miFHXDgy7
Performer,8MogksRenyjfE65G4,DLb7ki65miFHXDgy7
Performer,Lar8uhCAQ5FWrqYYF,DLb7ki65miFHXDgy7
Performer,MJBpXPQTeJJKLebbX,DLb7ki65miFHXDgy7
Performer,nF4g9bDAstYASpe7g,DLb7ki65miFHXDgy7
Performer,PNnHTXfBaqTN2fkPY,DLb7ki65miFHXDgy7
Performer,efzxPGAKGnA6cDwZh,DLb7ki65miFHXDgy7
Performer,fFgb6Nwg7WYTjREaC,DLb7ki65miFHXDgy7
Performer,B45YBQaHdmoPSMFmi,DLb7ki65miFHXDgy7
Performer,ZXLz6Q2sQGqMf7vM7,DLb7ki65miFHXDgy7
Performer,YNZKvoLqYHEwtZpwT,DLb7ki65miFHXDgy7
Performer,txehRiRFuZNJMaR9d,DLb7ki65miFHXDgy7
Performer,a6SYAtJiZ9ZqKLtNb,DLb7ki65miFHXDgy7
Performer,69PSnk9YBAdsvGtFB,DLb7ki65miFHXDgy7
Performer,xN4bT6bPkHeJGJ8Fg,DLb7ki65miFHXDgy7
Performer,EePWBXHCCwodKbYkj,DLb7ki65miFHXDgy7
Performer,BP4EHGCLhYukhvBfo,DLb7ki65miFHXDgy7
Performer,277HxoZuS23bbp9qe,DLb7ki65miFHXDgy7
Performer,whxYE7e8f52HmvXBN,DLb7ki65miFHXDgy7
Performer,dM5n9qFvq3jZkvkBk,DLb7ki65miFHXDgy7
Performer,ntRH7YN7badAyg229,DLb7ki65miFHXDgy7
Performer,wGhBC7PvBYHT47X7q,DLb7ki65miFHXDgy7
Performer,6JKKX2PehCGBnpTdm,DLb7ki65miFHXDgy7
Director,H6Tr3jdkEintbvhPF,h9Dcu8nDwRMTMGbGZ
performer,CSZ9tuz39xXwiBheX,h9Dcu8nDwRMTMGbGZ
performer,GFMxRfLRBGtaCaNhT,h9Dcu8nDwRMTMGbGZ
performer,6XjgYm595g2g7MwNL,h9Dcu8nDwRMTMGbGZ
performer,GEPPpyk84YEa3wzRL,h9Dcu8nDwRMTMGbGZ
designer,MvFPKQnxcpKXSRwuY,h9Dcu8nDwRMTMGbGZ
lighting designer,HbAQB6TXWXs48nwXv,h9Dcu8nDwRMTMGbGZ
"Composer, sound designer",2b7nWxfkXkj5B5635,h9Dcu8nDwRMTMGbGZ
movement director,r9b8zrCkSxvKEXm3i,h9Dcu8nDwRMTMGbGZ
co-commissioner,5877bc6117334f313edb5a41,WbJJXgEmgFFjzcLbt
Director,ndRoa28PzFu8Fcp4H,WbJJXgEmgFFjzcLbt
Director,HPr22FZbns9u7rgFh,WbJJXgEmgFFjzcLbt
Director,yr4PzSFZSFy3a7HBd,WbJJXgEmgFFjzcLbt
Director,emvNCpShWgnq39XZN,mJibfF2icBCM7MigG
Ensemble,WjyMPM4NPwgKtRJq2,n3MW6CYYfChXGt2bc
Producer,655d7p8Yi9DdkjR83,9wSy8uNy96RZgbbbQ
Collective,L42gu7dBBkJoyg7ZX,SJENxd7NzuF2JZ6ia
Company,mjkMbbyRw8Qf7ZZpe,gcNPDYfRzuQc2zdzG
Company,SBcrCAQ8NHCyfz9in,feEB8jGvqJQPFyW5t
musical director,78Js5jg9XvfKYE5iL,ZayZmhXStwLQpqP7G
"Costumer, Scenographer",XYgegmLRZ5q8sBae6,ZayZmhXStwLQpqP7G
Production Stage Manager,ZisQnicSgrjz6cqsp,5877af0b17334f313edb3b12
Stage Manager,cZHnbeDS5Aq6HqtEQ,5877af0b17334f313edb3b12
Director,7bkot8twdq2T39FYB,pDn6ikpkeeWwtrZc6
Scenic Designer,kvhztShdhh69LSiKq,5877b1ad17334f313edb407b
Costume Design,md3yqbb6sS88xQh4J,5877b1ad17334f313edb407b
Lighting Designer,8AwXotjcajAmg6EMn,5877b1ad17334f313edb407b
Sound Designer,cZ5q5DQMWRNtwZKY6,5877b1ad17334f313edb407b
Fight Choreographer,eDwjnrbWQ2bETyLCX,5877b1ad17334f313edb407b
Puppet Coach,ipLSYNd9DwXCxLEab,5877b1ad17334f313edb407b
Production Stage Manager,zZRN3WFXe7mPFGvSS,5877b1ad17334f313edb407b
Assistant Stage Manager,BM2eqRMo6zAusmaHh,5877b1ad17334f313edb407b
Costume Designer,bmDGptBwS3oeNcxbf,gifchm5Jgc4aj7ZyW
Lighting Designer,EDGyD77snffa6k64P,gifchm5Jgc4aj7ZyW
Production Stage Manager,fpAMSSNPagKa3CEFt,gifchm5Jgc4aj7ZyW
Assistant Stage Manager,KnMrwJFZBobdrZEDE,gifchm5Jgc4aj7ZyW
Scenic Designer,k34NieBfZiRqTjehD,n4yhq6B8Dd6a5g3vX
Lighting Designer,rw3yXLH3p8ztTy6Wi,n4yhq6B8Dd6a5g3vX
Sound Designer,k8QFjbNzKAM4wwM49,n4yhq6B8Dd6a5g3vX
Costume Designer,SRQ785eEqGQGgZLEk,n4yhq6B8Dd6a5g3vX
Fight Choreographer,oT2X4DXZK7rr7SG2f,n4yhq6B8Dd6a5g3vX
Director,kFWssyk9fGmEbHW4a,F2ZW5zNiD4SvpDa4J
Director,dcTuRxjY3ZgEYggKT,hmQHMAF2QWMpnRkxL
Lighting Engineer,SLyxAyDzsZtwNQYG8,hmQHMAF2QWMpnRkxL
Sound Design,ASiNtgR3SCKDaC2cC,hmQHMAF2QWMpnRkxL
Performer,oxe9BFktP4EWbGBEv,bnsGXpctrkvqkhyW6
Director,HCiCeCZ3fqGSNuB8v,bnsGXpctrkvqkhyW6
Director,dgvkmif8gTmHhTwDd,yPCmrKBGG95vBxKpv
Director,6YSy4ALTLmqRxda25,MCxX4nudSjhPgt425
Director,J54f8get4e2gvJKm4,KHZ7ZnkRxgYcsHEv2
Director,hrYC5n3DZ4jwkCDjM,5FeNGkWHTeeEHFqet
Stage Manager,sFqeTdocfGgf3Ds8w,5FeNGkWHTeeEHFqet
Director,uJDbyy5CsbMJS7y8h,7ZomBFeeCrXYALQYQ
actor,iQrth8j7WQNekvu63,7ZomBFeeCrXYALQYQ
Director,MqSPq62Xkd4hB9Eqo,CzR3eazXosejShCxD
actor,5kMffJ5rgxPB5REQG,7ZomBFeeCrXYALQYQ
actor,kgEafKvuW3scQYCEq,7ZomBFeeCrXYALQYQ
Actor,oWpzecp9G4hivYg8m,7ZomBFeeCrXYALQYQ
Actor,7kehonpP3qpD64pLa,7ZomBFeeCrXYALQYQ
actor,BegJ9gpKP3sNdDSG5,7ZomBFeeCrXYALQYQ
actor,RNzBSA5HGoWTveAuf,7ZomBFeeCrXYALQYQ
actor,GenTXft8Z2WHXR2jw,7ZomBFeeCrXYALQYQ
Actor,8NLoGJ7okr9S9DELS,7ZomBFeeCrXYALQYQ
Translator,39dM8YpM7rsTi5B5N,7ZomBFeeCrXYALQYQ
Translator,heJz6uGn6Si35aJvq,7ZomBFeeCrXYALQYQ
Dramaturge,DHCzLwm6o4Cy5kHGN,7ZomBFeeCrXYALQYQ
Scenographer,8g9XcvojRGCopjnza,7ZomBFeeCrXYALQYQ
Composer,kzmKZbiB98xmxWQ3D,7ZomBFeeCrXYALQYQ
Musician,jz8uHhn8DYjLYhjmY,7ZomBFeeCrXYALQYQ
Musician,s2LdPYdmHY43Eeb9H,7ZomBFeeCrXYALQYQ
Musician,zNX2MTzjRok6rhWAK,7ZomBFeeCrXYALQYQ
Designer,9rDGA2oSJDaG4ubmz,7ZomBFeeCrXYALQYQ
Costumer,NAqwSdxLoHfAZQMGY,7ZomBFeeCrXYALQYQ
Assistant Director,MRcqQtbKJeF9B4Gch,7ZomBFeeCrXYALQYQ
Dramaturge Assistant,dSg9z8BcMucrLCKmK,7ZomBFeeCrXYALQYQ
