_id,name,author,about,interests,country,languages
5877bf6517334f313edb61d2,Water Ways (Part One of the Elements Cycle),"[{'_id': '5877b3fc17334f313edb4639', 'name': 'Oberlin College and Conservatory faculty and students and CPT artists'}]",,,,
5877bebf17334f313edb6025,Soulographie: Our Genocides -- A Commemorative Performance Cycle,"[{'_id': '5877b2c517334f313edb4322', 'name': 'Erik Ehn'}]",,,,
5877bf7d17334f313edb6210,"Ladies Room; Where Are We Going?; Fortune Cookies; Oh, Heritage Tree!","[{'_id': '5877b40d17334f313edb4666', 'name': 'Susan Faust, Donna Barrow-Green, Heather Thiel'}]",,,,
Lcws4tGLyqgz66FDD,Nurse Play,"[{'_id': 'Zcvs25mnBw7FNBiQz', 'name': 'James Wilkinson'}]",,[],,
5877c1e217334f313edb6853,This Betrayal Will Be Our End-The Monologue,"[{'_id': '5877b58f17334f313edb4a33', 'name': 'Joe Medina'}]",,,,
L5tKrhQ4vtdqRvcKy,Sycorax: Cyber Queen of Qamara,"[{'_id': '5877b33f17334f313edb4459', 'name': 'Fengar Gael'}]",,[],,
5877c01717334f313edb63a5,The Great Debate,"[{'_id': '5877b34a17334f313edb4475', 'name': 'Philip Paradis'}]",,,,
5877c1f417334f313edb6884,Amour No More,"[{'_id': '5877b59c17334f313edb4a55', 'name': 'Nancy Preston Stark'}]",Part of the Regional Writers Showcase,,,
5877c1f317334f313edb6881,True Home,"[{'_id': '5877b59b17334f313edb4a52', 'name': 'Cass Morgan'}]",,,,
5877bf8217334f313edb621e,Heresy,"[{'_id': '5877b23917334f313edb41c4', 'name': 'A. R. Gurney'}]","In a parade of government imprisonment, immaculate conception, religion, politics, cocktails and one articulate working girl, Heresy views the not-so-distant-future through the satiric and hilarious lens of A.R. Gurney. Just in time for the 2012 elections. Only at The Flea.

http://www.theflea.org/show_detail.php?page_type=0&show_id=120",,,
5877c28217334f313edb69ec,RADIO HOUR EPISODE 9: GRIMM,"[{'_id': '5877b54817334f313edb4981', 'name': 'Matthew Ivan Bennett'}]","Resident playwright Matthew Ivan Bennett pens his fifth radio script as RADIO HOUR returns to Halloween for EPISODE 9: GRIMM. ""Little Snow-White,"" ""Rapunzel"" and ""The Juniper Tree"" performed as live radio drama - with you as the live studio audience! - true to their original GRIMM-ness.

http://planbtheatre.org/grimm.htm",,,
5877c1fd17334f313edb689b,"20,000 Leagues Under the Sea","[{'_id': '5877b68117334f313edb4c9a', 'name': 'Sean Daniels'}, {'_id': 'Ky5u8Hx6QY4kXnZCv', 'name': 'Jon Ludwig'}, {'_id': 'rFWKxkmm9qXcWRsfD', 'name': 'Jason Hines'}]",,['Translations / Adaptations'],,
5877c1fe17334f313edb689d,Pirate Queens: The True Story of Anne and Mary,"[{'_id': '5877b58317334f313edb4a17', 'name': 'Rob MacIntyre'}]",,,,
5877bec517334f313edb6033,The Letters,"[{'_id': '5877b38f17334f313edb4525', 'name': 'John W. Lowell'}]",,"['New Work', 'Political / Social Engagement']",['United States'],['English']
5877bec617334f313edb6036,GIZMO,"[{'_id': '5877b26c17334f313edb4244', 'name': 'Anthony Clarvoe'}]",,,,
5877bec717334f313edb6037,A Maze,"[{'_id': '5877b2d317334f313edb4347', 'name': 'Rob Handel'}]",,,,
5877bf9217334f313edb6247,Stories: From the Trenches of Middle School,"[{'_id': '5877b41c17334f313edb468b', 'name': 'Lunacy Stageworks'}]",,,,
5877bf9217334f313edb6248,Wolf At The Door,"[{'_id': '5877b2bc17334f313edb430c', 'name': 'Marisela Treviño Orta'}]","To women held hostage in a house: Isadora, freshly mourning her stillborn child, and Yolot, found pregnant and naked in the stables. As the wolves and Isadora's violent husband circle in, the question becomes: Who is predator and who is prey?",,,
5877bf9417334f313edb624c,PALOMA,"[{'_id': '5877b41717334f313edb467f', 'name': 'Anne Garcia-Romero'}]","In 2004, Ibrahim, a practicing Muslim, and Paloma, a nominal Catholic, fall in love while studying at New York University. Inspired by an11th century Muslim meditation on love, the couple travels to Spain to overcome their religious differences. After tragedy strikes, Ibrahim must confront their past in order to survive.",,,
5877bf9417334f313edb624d,JUANITA'S STATUE,"[{'_id': '5877b41717334f313edb467f', 'name': 'Anne Garcia-Romero'}]","Juanita disguises herself as a man to escape the wrath of her lover Ignacio's father. She masquerades as a ""new"" Don Juan and with her best friend, Carmela, gallivants through their city in a Spanglish-speaking land. Together they encounter Alejandra, an art collector, Tomás, a leather bar patron and Beatríz, a society bride, who all fall instantly in love with Juan/Juanita. Juanita’s romp finally lands her squarely at the feet of a statue of Don Juan. The statue soon springs to life to challenge, tempt and seduce Juanita as she struggles to find true love.",,,
5877bfa617334f313edb627b,American Utopias,"[{'_id': '5877b42b17334f313edb46b0', 'name': 'Mike Daisey'}]",,,,
5877bfa617334f313edb627c,Stupid Fucking Bird,"[{'_id': '5877b3ab17334f313edb456b', 'name': 'Aaron Posner'}]",,,,
5877bee417334f313edb6083,Good People,"[{'_id': '5877b3a417334f313edb455a', 'name': 'David Lindsay-Abaire'}]",,,,
5877c22117334f313edb68f9,Green Porno,"[{'_id': '5877b5bd17334f313edb4aa8', 'name': 'Isabella Rossellini'}]",,,,
5877bf1117334f313edb60f5,The Way West,"[{'_id': '5877b3bb17334f313edb4595', 'name': 'Mona Mansour'}]",,,,
5877bf2d17334f313edb613d,My Visit to America,"[{'_id': '5877b3ce17334f313edb45c5', 'name': 'Chas Belov'}]","The time: now, but not our now. London is part of the Mongolian Empire and to be of a single race is to be a member of the underclass. America is run by indigenous Americans and to be of a single race is the norm. Biracial London bureaucrat Jochi travels to Miami, Nation of Calusa, America, to try to establish trade. But there's something odd about Jochi's financing. Who's really backing Jochi? How dangerous are they? And what if Jochi returns to London empty-handed?",,,
5877bf2d17334f313edb613f,The Completely Fictional - Utterly True - Final Strange Tale of Edgar Allan Poe,"[{'_id': '5877b3cf17334f313edb45c7', 'name': 'Stephen Thorne'}]",,,,
7sKtQZydJtQThRJvN,Body Awareness,"[{'_id': '5877b33817334f313edb4448', 'name': 'Annie Baker'}]",,[],,
